Real_Hs,Predicted_Hs
0.5,0.5474615
0.5,0.5347638
0.5,0.5138676
0.46666664,0.49523133
0.43333334,0.48482707
0.4,0.49682373
0.43333334,0.49839827
0.46666664,0.52124417
0.5,0.510234
0.53333336,0.48766187
0.56666666,0.43912405
0.6,0.39324945
0.56666666,0.35056108
0.53333336,0.31694475
0.5,0.2879557
0.46666664,0.26601055
0.43333334,0.26520962
0.4,0.27626064
0.36666667,0.29270306
0.33333334,0.30406326
0.3,0.28723183
0.26666668,0.26695323
0.23333332,0.27977994
0.2,0.2713088
0.16666667,0.25951645
0.13333334,0.2622867
0.1,0.2764343
0.13333334,0.2888469
0.16666667,0.31313267
0.2,0.34408337
0.26666668,0.37875333
0.33333334,0.4979709
0.4,0.43087432
0.36666667,0.35693654
0.33333334,0.40490928
0.3,0.42600036
0.4,0.4205046
0.5,0.50707835
0.6,0.6298875
0.6333333,0.7167106
0.6666667,0.7642381
0.7,0.83042127
0.9,0.9389717
1.1,1.0442257
1.3,1.1756275
1.2666667,1.2949495
1.2333333,1.3858589
1.2,1.4558305
1.4333333,1.5338157
1.6666666,1.5844232
1.8999997,1.6192224
1.7999998,1.6745139
1.6999999,1.7120967
1.6,1.700471
1.6,1.67347
1.6,1.6293012
1.6,1.5924153
1.6333333,1.560598
1.6666666,1.5352564
1.6999999,1.4783846
1.6999999,1.3875991
1.6999999,1.3127401
1.6999999,1.2878509
1.6,1.2710438
1.5,1.2603564
1.4,1.2216771
1.3333334,1.1875381
1.2666667,1.1587903
1.2,1.1415385
1.2333333,1.1214899
1.2666667,1.1196604
1.3,1.0703783
1.2333333,1.0389222
1.1666666,1.0070684
1.1,0.9805923
1.0333333,0.94283867
0.9666666,0.88663316
0.9,0.80321
0.8666667,0.70994514
0.8333333,0.63006735
0.8,0.55602413
0.8,0.49229917
0.8,0.42569786
0.8,0.34774032
0.76666665,0.29973516
0.73333335,0.2840953
0.7,0.27464268
0.6666667,0.2641055
0.6333333,0.24949205
0.6,0.26039025
0.56666666,0.26581088
0.53333336,0.28088203
0.5,0.27962726
0.46666664,0.2637028
0.43333334,0.24252738
0.4,0.1919501
0.36666667,0.13417089
0.33333334,0.06821301
0.3,0.029838871
0.3,0.022712123
0.3,0.03362536
0.3,0.056083743
0.33333334,0.08222916
0.36666667,0.09432964
0.4,0.110629775
0.43333334,0.14204854
0.46666664,0.18741255
0.5,0.17656846
0.43333334,0.14750333
0.36666667,0.09443344
0.3,0.045541994
0.3,0.021278597
0.3,0.035386216
0.3,0.071910314
0.26666668,0.08647678
0.23333332,0.09747365
0.2,0.13314918
0.2,0.1710783
0.2,0.19681105
0.2,0.20751089
0.16666667,0.20192264
0.13333334,0.20026986
0.1,0.2229851
0.23333332,0.26351553
0.36666667,0.29425752
0.5,0.3366513
0.6,0.38319594
0.7,0.4283586
0.8,0.4451902
0.73333335,0.46136856
0.6666667,0.45932072
0.6,0.40426636
0.53333336,0.34638128
0.46666664,0.26853245
0.4,0.2103525
0.36666667,0.16416809
0.33333334,0.1582758
0.3,0.19034196
0.3,0.21470785
0.3,0.22669438
0.3,0.2462781
0.26666668,0.277266
0.23333332,0.32972732
0.2,0.3435355
0.16666667,0.32468152
0.13333334,0.275089
0.1,0.2420697
0.1,0.2491272
0.1,0.28166208
0.1,0.29785883
0.1,0.28165182
0.1,0.2787767
0.1,0.268111
0.13333334,0.29105034
0.16666667,0.3038561
0.2,0.23839977
0.23333332,0.14357646
0.26666668,0.08082005
0.3,0.07130294
0.26666668,0.10938534
0.23333332,0.17336172
0.2,0.23275182
0.2,0.25525028
0.2,0.27794924
0.2,0.32281175
0.2,0.3541919
0.2,0.38138893
0.2,0.39607123
0.16666667,0.3828618
0.13333334,0.3580088
0.1,0.34571576
0.13333334,0.3440452
0.16666667,0.32914004
0.2,0.30522934
0.2,0.30276236
0.2,0.30870473
0.2,0.3091263
0.23333332,0.28404728
0.26666668,0.2562556
0.3,0.24941586
0.33333334,0.26896665
0.36666667,0.38446665
0.4,0.47579095
0.43333334,0.439575
0.46666664,0.48942915
0.5,0.56170994
0.46666664,0.5936977
0.43333334,0.62398934
0.4,0.6755625
0.4,0.71062446
0.4,0.6818838
0.4,0.68986255
0.4,0.6906324
0.4,0.6543414
0.4,0.59511364
0.4,0.5483188
0.4,0.52867347
0.4,0.4883241
0.4,0.449526
0.4,0.4164378
0.4,0.36497173
0.36666667,0.32362568
0.33333334,0.28881297
0.3,0.2411014
0.3,0.24177262
0.3,0.2805486
0.3,0.332124
0.3,0.38264236
0.3,0.41000998
0.3,0.3762155
0.26666668,0.32735103
0.23333332,0.30426267
0.2,0.290735
0.2,0.32967016
0.2,0.39606893
0.2,0.38912308
0.2,0.34600016
0.2,0.2832178
0.2,0.21094733
0.26666668,0.18747978
0.33333334,0.18598807
0.4,0.16413176
0.43333334,0.1966437
0.46666664,0.20653057
0.5,0.21704751
0.5,0.23970093
0.5,0.24547751
0.5,0.20134403
0.43333334,0.17274769
0.36666667,0.14789708
0.3,0.15020865
0.26666668,0.13280946
0.23333332,0.14480563
0.2,0.17206356
0.16666667,0.1825588
0.13333334,0.17096709
0.1,0.1638878
0.1,0.1556456
0.1,0.17923275
0.1,0.181955
0.1,0.18276145
0.1,0.15228836
0.1,0.09943812
0.1,0.061023526
0.1,0.04941348
0.1,0.021107035
0.1,0.0170796
0.1,0.05017309
0.1,0.06443305
0.1,0.10890287
0.1,0.19240868
0.1,0.20453215
0.1,0.20227689
0.1,0.20710488
0.1,0.21705352
0.16666667,0.2146673
0.23333332,0.23903045
0.3,0.28377348
0.3,0.39625943
0.3,0.5516073
0.3,0.65342444
0.33333334,0.7252519
0.36666667,0.79898566
0.4,0.85625076
0.46666664,0.8991713
0.53333336,0.87104577
0.6,0.7598731
0.6,0.6741388
0.6,0.6008555
0.6,0.6053152
0.6666667,0.63227695
0.73333335,0.6876291
0.8,0.7628337
0.8666667,0.8489261
0.9333333,0.9234365
1.0,0.9218882
1.0,0.91414946
1.0,0.9227217
1.0,0.86038166
0.9666666,0.848762
0.9333333,0.8354714
0.9,0.8681924
0.8666667,0.8453769
0.8333333,0.8377023
0.8,0.8971351
0.8333333,0.89935374
0.8666667,0.86234707
0.9,0.807591
0.8666667,0.740196
0.8333333,0.7198627
0.8,0.74195737
0.76666665,0.7878978
0.73333335,0.8189257
0.7,0.83524823
0.6666667,0.8481521
0.6333333,0.85023385
0.6,0.7988434
0.6,0.80237675
0.6,0.8520175
0.6,0.85062253
0.6,0.80504197
0.6,0.7311474
0.6,0.66676724
0.6,0.63828015
0.6,0.66180176
0.6,0.6647408
0.6,0.6942522
0.6,0.7436289
0.6,0.8242948
0.6333333,0.8933971
0.6666667,0.9483594
0.7,0.9152838
0.7,0.91316175
0.7,0.9013762
0.7,0.90650463
0.73333335,0.9381696
0.76666665,0.9817181
0.8,1.0230213
0.8333333,1.0477613
0.8666667,1.0613896
0.9,1.0185192
0.9333333,0.97650826
0.9666666,0.91639394
1.0,0.84131193
0.9666666,0.7971769
0.9333333,0.8027234
0.9,0.8151752
0.9,0.82641166
0.9,0.8432413
0.9,0.8969965
0.9,0.96634203
0.9,1.0287162
0.9,1.0820225
1.0,1.124627
1.1,1.163562
1.2,1.1666409
1.1333333,1.1777964
1.0666667,1.150577
1.0,1.1209122
0.9,1.0875921
0.8,1.0504273
0.7,1.0147676
0.7,0.98962086
0.7,0.96484214
0.7,0.904296
0.73333335,0.8799566
0.76666665,0.8560999
0.8,0.8103371
0.76666665,0.7822563
0.73333335,0.77945495
0.7,0.7890187
0.7,0.8112301
0.7,0.8340373
0.7,0.8627046
0.73333335,0.8885963
0.76666665,0.937038
0.8,1.0128503
0.8,1.1064523
0.8,1.1958305
0.8,1.2315345
0.8,1.2170378
0.8,1.1438195
0.8,1.0674942
0.73333335,0.9921706
0.6666667,0.9381308
0.6,0.910563
0.6333333,0.88491094
0.6666667,0.8850115
0.7,0.88922393
0.73333335,0.905527
0.76666665,0.9445509
0.8,0.93614
0.76666665,0.9038995
0.73333335,0.8533308
0.7,0.8041735
0.6666667,0.744346
0.6333333,0.7012585
0.6,0.67008615
0.53333336,0.65551805
0.46666664,0.6708555
0.4,0.7114605
0.4,0.724592
0.4,0.72246933
0.4,0.73681796
0.36666667,0.7669433
0.33333334,0.7848363
0.3,0.76137686
0.33333334,0.71359736
0.36666667,0.6770681
0.4,0.665879
0.43333334,0.672824
0.46666664,0.7089531
0.5,0.7291199
0.5,0.7508442
0.5,0.7807687
0.5,0.791035
0.53333336,0.7977043
0.56666666,0.78632224
0.6,0.7615177
0.56666666,0.7488429
0.53333336,0.7382557
0.5,0.69855046
0.5,0.6654835
0.5,0.6257959
0.5,0.6295653
0.46666664,0.6456159
0.43333334,0.71595335
0.4,0.73785824
0.4,0.75876963
0.4,0.77738446
0.4,0.78488
0.46666664,0.80602103
0.53333336,0.8286243
0.6,0.88266546
0.6333333,0.9253753
0.6666667,0.95238227
0.7,0.9298045
0.73333335,0.93595064
0.76666665,0.90534717
0.8,0.8632691
0.8333333,0.8140861
0.8666667,0.802661
0.9,0.77623826
0.8666667,0.76775694
0.8333333,0.79101634
0.8,0.792644
0.76666665,0.7728787
0.73333335,0.72834486
0.7,0.7043677
0.7,0.6762034
0.7,0.67052054
0.7,0.62760675
0.6666667,0.5858979
0.6333333,0.5476399
0.6,0.52458704
0.56666666,0.5183017
0.53333336,0.51648545
0.5,0.51666
0.5,0.54244524
0.5,0.5444782
0.5,0.5290983
0.5,0.52634734
0.5,0.5257911
0.5,0.49048632
0.46666664,0.4708293
0.43333334,0.44363225
0.4,0.41422403
0.4,0.37975892
0.4,0.3810449
0.4,0.39896294
0.36666667,0.40870777
0.33333334,0.4141685
0.3,0.44026992
0.3,0.44621283
0.3,0.42892966
0.3,0.394392
0.33333334,0.3675789
0.36666667,0.34684584
0.4,0.33447328
0.36666667,0.32888776
0.33333334,0.30635434
0.3,0.29905146
0.3,0.2953563
0.3,0.28303537
0.3,0.27000937
0.23333332,0.2082456
0.26666668,0.24319312
0.3,0.2779734
