lat,lon,dist_km
37.5,12.5,2.8704506644379655
37.5,12.75,19.43823664552275
37.5,12.25,24.724076569354725
37.75,12.5,26.81723172350621
37.25,12.5,29.031946744648074
37.75,12.75,32.97771307067156
37.25,12.75,34.83812154684338
37.75,12.25,36.334300230022706
37.25,12.25,38.051409609500006
37.5,13.0,41.47401625660959
37.5,12.0,46.76496780390386
37.75,13.0,49.24708808617733
37.25,13.0,50.60068689680891
37.75,12.0,53.76409267736855
38.0,12.5,54.54931001093654
37.25,12.0,55.035061475635395
37.0,12.5,56.77153557561027
38.0,12.75,57.81650507711305
38.0,12.25,59.788075786148504
37.0,12.75,59.95897402731303
37.0,12.25,61.8875658458907
37.5,13.25,63.521468466590946
38.0,13.0,68.38109750376861
37.75,13.25,68.79238911074272
37.5,11.75,68.81333534636511
37.25,13.25,69.87881571735858
37.0,13.0,70.32980985836046
38.0,12.0,71.69173128468996
37.0,12.0,73.59527834698976
37.75,11.75,73.69085178065785
37.25,11.75,74.73745709494403
38.25,12.5,82.3263591025741
38.0,13.25,83.51824001943491
38.25,12.75,84.51923534712023
36.75,12.5,84.54998194264215
37.0,13.25,85.30303973986689
37.5,13.5,85.5714759832252
38.25,12.25,85.87536236342544
36.75,12.75,86.72944485156927
38.0,11.75,87.58360027202502
36.75,12.25,88.0781644972476
37.0,11.75,89.33968183420646
37.75,13.5,89.49225959952682
37.25,13.5,90.45184646658873
37.5,11.5,90.86363794725155
38.25,13.0,92.044502587206
36.75,13.0,94.22129241733786
38.25,12.0,94.52164954449212
37.75,11.5,94.54869259345743
37.25,11.5,95.49021067728744
36.75,12.0,96.69117448391792
38.0,13.5,101.19633198605143
37.0,13.5,102.88849114087266
38.25,13.25,103.74819422120463
38.0,11.5,105.67944002906185
36.75,13.25,105.90399455802864
38.25,11.75,107.03696240793441
37.0,11.5,107.35918299238563
37.5,13.75,107.62236040833129
36.75,11.75,109.1922565557137
38.5,12.5,110.11435173745181
37.75,13.75,110.70080223362562
37.25,13.75,111.60586586961892
38.5,12.75,111.75772104057454
36.5,12.5,112.33846410043817
38.5,12.25,112.783300791535
37.5,11.25,112.91463192427976
36.5,12.75,113.99319640350322
36.5,12.25,115.02602547942934
37.75,11.25,115.83563207858687
37.25,11.25,116.73436395064033
38.5,13.0,117.53264893752107
38.25,13.5,118.39753687264835
38.5,12.0,119.4759028190635
36.5,13.0,119.810428944331
38.0,13.75,120.30026916618498
36.75,13.5,120.56530487597338
36.5,12.0,121.76868511599072
37.0,13.75,121.96129764742261
38.25,11.5,122.2385660087686
36.75,11.5,124.41479900447159
38.0,11.25,125.02579891864625
37.0,11.25,126.68656807547539
38.5,13.25,126.87618753061328
36.5,13.25,129.22922002213758
38.5,11.75,129.5701141800859
37.5,14.0,129.67355845467318
36.5,11.75,131.94619325755266
37.75,14.0,132.1732647817015
37.25,14.0,133.06395902379026
37.5,11.0,134.9658609085551
38.25,13.75,135.0371574623575
36.75,13.75,137.25392139521935
37.75,11.0,137.35219332388905
38.75,12.5,137.9066727503935
37.25,11.0,138.2434447902553
38.5,13.5,139.07085214022203
38.75,12.75,139.21784894417337
38.25,11.25,139.24936016968343
38.75,12.25,140.0396345145001
36.25,12.5,140.13101177626967
38.0,14.0,140.2484854534169
36.25,12.75,141.46531459064116
36.75,11.25,141.48299724729335
36.5,13.5,141.53229284290992
37.0,14.0,141.92296575094093
36.25,12.25,142.3015854974296
38.5,11.5,142.3440346214328
38.75,13.0,143.87902496161288
36.5,11.5,144.83619867527156
38.0,11.0,145.12330697128814
38.75,12.0,145.46529379405777
36.25,13.0,146.20855984048612
37.0,11.0,146.80607705033825
36.25,12.0,147.82270917848436
38.75,13.25,151.58144308483216
38.25,14.0,153.019047848436
38.5,13.75,153.43827753168028
38.75,11.75,153.83561530029877
36.25,13.25,154.04614347215414
36.75,14.0,155.3176255501875
36.5,13.75,156.03881483249853
36.25,11.75,156.33977682368712
38.5,11.25,157.14545933724528
38.25,11.0,157.48406666068135
36.5,11.25,159.78350246079927
36.75,11.0,159.80646513682686
38.75,13.5,161.8915474478172
36.25,13.5,164.53641887684802
38.75,11.5,164.7022026466133
39.0,12.5,165.70114421649194
39.0,12.75,166.79018226717287
36.25,11.5,167.39605990958793
39.0,12.25,167.47434655220079
36.0,12.5,167.9256063900976
36.0,12.75,169.044242202316
38.5,14.0,169.42652068838586
36.0,12.25,169.74695035002154
39.0,13.0,170.6866756016621
39.0,12.0,172.0212872385655
36.5,14.0,172.1927030385681
36.0,13.0,173.04584422544545
38.5,11.0,173.4560350044692
38.75,13.75,174.3472629635841
36.0,12.0,174.41618400575015
36.5,11.0,176.2654139082577
39.0,13.25,177.2054981562942
36.25,13.75,177.20884995891012
38.75,11.25,177.6073862054456
39.0,11.75,179.1308389306219
36.0,13.25,179.7379344855738
